Area,Date,Confirmed,Death
Germany,2020/3/10,1139,2
Germany,2020/3/9,1112,0
Germany,2020/3/8,795,0
Germany,2020/3/7,639,0
Germany,2020/3/6,534,0
Germany,2020/3/5,262,0
Germany,2020/3/4,196,0
Germany,2020/3/3,157,0
Germany,2020/3/2,129,0
Germany,2020/3/1,57,0
Germany,2020/2/29,57,0
Germany,2020/2/28,26,0
Germany,2020/2/27,21,0
Germany,2020/2/26,18,0
Germany,2020/2/25,16,0
Germany,2020/2/24,16,0
Germany,2020/2/23,16,0
Germany,2020/2/22,16,0
Germany,2020/2/21,16,0
Germany,2020/2/20,16,0
Germany,2020/2/19,16,0
Germany,2020/2/18,16,0
Germany,2020/2/17,16,0
Germany,2020/2/16,16,0
Germany,2020/2/15,16,0
Germany,2020/2/14,16,0
Germany,2020/2/13,16,0
Germany,2020/2/12,16,0
Germany,2020/2/11,14,0
Germany,2020/2/10,14,0
Germany,2020/2/9,14,0
Germany,2020/2/8,14,0
Germany,2020/2/7,13,0
Germany,2020/2/6,12,0
Germany,2020/2/5,12,0
Germany,2020/2/4,12,0
Germany,2020/2/3,10,0
Germany,2020/2/2,8,0
Germany,2020/2/1,7,0
Germany,2020/1/31,5,0
Germany,2020/1/30,4,0
Germany,2020/1/29,4,0
Germany,2020/1/28,1,0
Germany,2020/1/27,0,0
US,2020/3/19,7087,100
US,2020/3/18,3536,58
US,2020/3/17,3503,58
US,2020/3/16,1678,41
US,2020/3/15,1678,41
US,2020/3/14,1678,41
US,2020/3/13,1264,36
US,2020/3/12,987,29
US,2020/3/11,696,25
US,2020/3/10,472,19
US,2020/3/9,213,11
US,2020/3/8,213,11
US,2020/3/7,213,11
US,2020/3/6,148,10
US,2020/3/5,129,9
US,2020/3/4,108,6
US,2020/3/3,64,2
US,2020/3/2,62,0
US,2020/3/1,62,0
US,2020/2/29,62,0
US,2020/2/28,59,0
US,2020/2/27,59,0
US,2020/2/26,53,0
US,2020/2/25,53,0
US,2020/2/24,35,0
US,2020/2/23,35,0
US,2020/2/22,35,0
US,2020/2/21,15,0
US,2020/2/20,15,0
US,2020/2/19,15,0
US,2020/2/18,15,0
US,2020/2/17,15,0
US,2020/2/16,15,0
US,2020/2/15,15,0
US,2020/2/14,15,0
US,2020/2/13,14,0
US,2020/2/12,13,0
US,2020/2/11,13,0
US,2020/2/10,12,0
US,2020/2/9,12,0
US,2020/2/8,12,0
US,2020/2/7,12,0
US,2020/2/6,12,0
US,2020/2/5,11,0
US,2020/2/4,11,0
US,2020/2/3,11,0
US,2020/2/2,8,0
US,2020/2/1,7,0
US,2020/1/31,6,0
US,2020/1/30,5,0
US,2020/1/29,5,0
US,2020/1/28,5,0
US,2020/1/27,5,0
US,2020/1/26,2,0
US,2020/1/25,2,0
US,2020/1/24,1,0
US,2020/1/23,1,0
US,2020/1/22,0,0
