"国","confirmed","death","country"
"トルコ",6,0,"Republic of Turkey"
"コートジボワール",1,0,"Ivory Coast"
"ガイアナ",6,1,"Guyana"
"ガーンジー（英領）",1,0,"Guernsey"
"ジャージー（英領）",2,0,"Jersey"
"ケイマン諸島（英領）",1,0,"Cayman Islands"
"キューバ",4,0,"Cuba"
"トリニダード・トバゴ",2,0,"Trinidad and Tobago"
"スーダン",1,1,"Sudan"
"ギニア",1,0,"Guinea"
"エチオピア",1,0,"Ethiopia"
"ケニア",1,0,"Kenya"
"グアテマラ",1,0,"Guatemala"
"ベネズエラ",8,0,"Venezuela"
"ガボン",1,0,"Gabon"
"ガーナ",6,0,"Ghana"
"アンティグア・バーブーダ",1,0,"Antigua and Barbuda"
"カザフスタン",8,0,"Kazakhstan"
"ウルグアイ",4,0,"Uruguay"
"アルバ",2,0,"Aruba"
"ナミビア",2,0,"Namibia"
"セーシェル",2,0,"Seychelles"
"セントルシア",1,0,"Saint Lucia"
"ルワンダ",1,0,"Rwanda"
"エスワティニ",1,0,"Eswatini"
"キュラソー",1,0,"Curacao"
"スリナム",1,0,"Suriname"
"モーリタニア",1,0,"Mauritania"
"コソボ",2,0,"Kosovo"
"コンゴ共和国",1,0,"Democratic Republic of the Congo"
"セントビンセント及びクレナディーン諸島",1,0,"Saint Vincent and the Grenadines"
"中央アフリカ",1,0,"Central African Republic"
"ウズベキスタン",1,0,"Uzbekistan"
"赤道ギニア",1,0,"Equatorial Guinea"
"プエルトリコ",3,0,"Puerto rico"
"その他",712,7,"Other"
